gppd_idnr,name,country,country_long,fuel,capacity_mw,commissioning_year,age_2020_years,lifetime,remaining_life_2020_years,carbon_intensity_tCO2_per_MWh_elec,om_variable_eur2024_per_MWh,capacity_factor_2020,latitude,longitude
WRI1002253,LANGERLO 1,BEL,Belgium,coal,470.0,1968,52,40,-12,0.9204324324324323,5.0,0.85,50.9405,5.4906
WRI1075858,AES Galabovo,BGR,Bulgaria,coal,670.0,2011,9,40,31,0.9204324324324323,5.0,0.3251744397488632,42.1573,25.9084
WRI1008057,Bobov Dol power station,BGR,Bulgaria,coal,630.0,1974,46,40,-6,0.9204324324324323,5.0,0.3251744397488632,42.2855,23.0342
WRI1008041,Brikel power station,BGR,Bulgaria,coal,240.0,1961,59,40,-19,0.9204324324324323,5.0,0.3251744397488632,42.1551,25.9072
WRI1008042,Deven power station,BGR,Bulgaria,coal,174.0,2009,11,40,29,0.9204324324324323,5.0,0.3251744397488632,43.1964,27.6327
WRI1008058,Maritsa 3 power station,BGR,Bulgaria,coal,120.0,1971,49,40,-9,0.9204324324324323,5.0,0.3251744397488632,42.0519,25.6231
WRI1008060,Maritsa Itzok-2 power station,BGR,Bulgaria,coal,1602.0,1979,41,40,-1,0.9204324324324323,5.0,0.3251744397488632,42.2541,26.134
WRI1008061,Maritsa Itzok-3 power station,BGR,Bulgaria,coal,908.0,1980,40,40,0,0.9204324324324323,5.0,0.3251744397488632,42.145,26.0025
WRI1008046,RUSE,BGR,Bulgaria,coal,180.0,1974,46,40,-6,0.9204324324324323,5.0,0.3251744397488632,43.8662,26.0093
WRI1008045,Republika power station,BGR,Bulgaria,coal,105.0,1951,69,40,-29,0.9204324324324323,5.0,0.3251744397488632,42.6064,23.0784
WRI1008059,TOPLO RUSE,BGR,Bulgaria,coal,110.0,1974,46,40,-6,0.9204324324324323,5.0,0.3251744397488632,42.2569,26.136
WRI1075859,Vidin Works power station,BGR,Bulgaria,coal,120.0,1970,50,40,-10,0.9204324324324323,5.0,0.3251744397488632,43.9484,22.8509
GEODB0044820,Plomin Thermal Power Plant Croatia,HRV,Croatia,coal,330.0,1980,40,40,0,0.9204324324324323,5.0,0.85,45.137,14.164
WRI1075824,Brno power station,CZE,Czech Republic,coal,72.0,1984,36,40,4,0.9204324324324323,5.0,0.4971992992617514,49.2159,16.6064
WRI1019222,Chvaletice power station,CZE,Czech Republic,coal,820.0,1978,42,40,-2,0.9204324324324323,5.0,0.4971992992617514,50.0275,15.4505
WRI1019164,Detmarovice power station,CZE,Czech Republic,coal,800.0,1976,44,40,-4,0.9204324324324323,5.0,0.4971992992617514,49.9072,18.4646
WRI1019165,Hodonin power station,CZE,Czech Republic,coal,105.0,1957,63,40,-23,0.9204324324324323,5.0,0.4971992992617514,48.8474,17.1197
WRI1019206,Kladno,CZE,Czech Republic,coal,404.0,2014,6,40,34,0.9204324324324323,5.0,0.4971992992617514,50.1532,14.129
WRI1019224,Komorany power station,CZE,Czech Republic,coal,210.0,1956,64,40,-24,0.9204324324324323,5.0,0.4971992992617514,50.522,13.5718
