gppd_idnr,name,country,country_long,fuel,primary_fuel,capacity_mw,commissioning_year,latitude,longitude
WRI1019146,Donaustadt,AUT,Austria,gas,Gas,395.0,2001.0,48.2,16.4633
WRI1019147,Simmering,AUT,Austria,gas,Gas,1272.0,2009.0,48.1815,16.4334
WRI1019163,Timelkam,AUT,Austria,gas,Gas,400.0,2008.0,48.0122,13.5895
WRI1002206,AALTER TJ,BEL,Belgium,oil,Oil,18.6,,51.0902,3.4469
WRI1002208,ANGLEUR TG 41,BEL,Belgium,gas,Gas,128.0,,50.6177,5.5837
WRI1002204,Aalst Syral GT,BEL,Belgium,gas,Gas,43.0,,50.936,4.0355
WRI1002205,Aalst Syral ST,BEL,Belgium,gas,Gas,5.0,,50.936,4.0355
WRI1002207,Amercoeur 1 R TGV,BEL,Belgium,gas,Gas,451.0,1994.0,50.4304,4.3955
WRI1002211,BEERSE TJ,BEL,Belgium,oil,Oil,33.2,,51.3193,4.853
WRI1002217,BUDA TJ,BEL,Belgium,oil,Oil,18.6,,50.9079,4.4155
WRI1002214,Beveren Ineos Phenolchemie,BEL,Belgium,gas,Gas,22.8,,51.2119,4.2563
WRI1002219,CIERREUX TJ,BEL,Belgium,oil,Oil,18.6,,50.2444,5.9302
WRI1002224,DROGENBOS DM 51,BEL,Belgium,gas,Gas,5.0,,50.8023,4.299
WRI1002225,DROGENBOS GT0,BEL,Belgium,gas,Gas,48.0,,50.8023,4.299
WRI1002226,DROGENBOS TGV,BEL,Belgium,gas,Gas,465.0,,50.8023,4.299
WRI1002222,Deux-Acren TJ,BEL,Belgium,oil,Oil,18.6,,50.7303,3.8531
WRI1002231,HAM-GENT WKK,BEL,Belgium,gas,Gas,52.0,2006.0,51.05,3.7167
WRI1002234,HERDERSBRUG STEG,BEL,Belgium,gas,Gas,465.0,1998.0,51.2629,3.2112
WRI1002244,INESCO WKK,BEL,Belgium,gas,Gas,138.0,,51.2198,4.3266
WRI1002253,LANGERLO 1,BEL,Belgium,coal,Coal,470.0,1968.0,50.9405,5.4906
WRI1002255,LANGERLO 4 REPOWERING,BEL,Belgium,gas,Gas,86.0,,50.934,5.4784
WRI1002258,Marcinelle Energie (Carsid),BEL,Belgium,gas,Gas,405.0,2011.0,50.4138,4.4067
WRI1002259,Noordschote TJ,BEL,Belgium,oil,Oil,18.6,,50.9548,2.8103
WRI1002264,RINGVAART STEG,BEL,Belgium,gas,Gas,357.0,1998.0,51.1049,3.7257
WRI1002267,SAINT-GHISLAIN STEG,BEL,Belgium,gas,Gas,350.0,2000.0,50.4719,3.8248
WRI1002271,T-power Beringen,BEL,Belgium,gas,Gas,422.0,2011.0,51.0586,5.1056
WRI1002284,Zedelgem TJ,BEL,Belgium,oil,Oil,18.6,,51.1424,3.1368
WRI1002285,Zeebrugge 2 Fluxys,BEL,Belgium,gas,Gas,40.0,,51.329,3.1819
WRI1002286,Zeebrugge TJ,BEL,Belgium,oil,Oil,18.6,,51.329,3.1819
WRI1002288,Zelzate 2 Knippegroen,BEL,Belgium,gas,Gas,315.0,2010.0,51.1587,3.8068
WRI1002289,Zelzate TJ,BEL,Belgium,oil,Oil,18.6,,51.1896,3.8078
WRI1002290,Zwijndrecht Lanxess GT,BEL,Belgium,gas,Gas,43.0,,51.2382,4.3408
