country,fuel,scenario,year,cf
BEL,coal,Current Policies,2020,0.85
BEL,coal,Current Policies,2021,0.7625
BEL,coal,Current Policies,2022,0.6749
BEL,coal,Current Policies,2023,0.5874
BEL,coal,Current Policies,2024,0.4998
BEL,coal,Current Policies,2025,0.4123
BEL,coal,Current Policies,2026,0.3588
BEL,coal,Current Policies,2027,0.3053
BEL,coal,Current Policies,2028,0.2519
BEL,coal,Current Policies,2029,0.1984
BEL,coal,Current Policies,2030,0.145
BEL,coal,Current Policies,2031,0.1279
BEL,coal,Current Policies,2032,0.1109
BEL,coal,Current Policies,2033,0.0938
BEL,coal,Current Policies,2034,0.0768
BEL,coal,Current Policies,2035,0.0597
BEL,coal,Current Policies,2036,0.0494
BEL,coal,Current Policies,2037,0.0391
BEL,coal,Current Policies,2038,0.0288
BEL,coal,Current Policies,2039,0.0184
BEL,coal,Current Policies,2040,0.0081
BEL,coal,Current Policies,2041,0.0066
BEL,coal,Current Policies,2042,0.0051
BEL,coal,Current Policies,2043,0.0035
BEL,coal,Current Policies,2044,0.002
BEL,coal,Current Policies,2045,0.0005
BEL,coal,Current Policies,2046,0.0004
BEL,coal,Current Policies,2047,0.0003
BEL,coal,Current Policies,2048,0.0003
BEL,coal,Current Policies,2049,0.0002
BEL,coal,Current Policies,2050,0.0001
BEL,coal,Delayed transition,2020,0.85
BEL,coal,Delayed transition,2021,0.7625
BEL,coal,Delayed transition,2022,0.6749
BEL,coal,Delayed transition,2023,0.5874
BEL,coal,Delayed transition,2024,0.4998
BEL,coal,Delayed transition,2025,0.4123
BEL,coal,Delayed transition,2026,0.3588
BEL,coal,Delayed transition,2027,0.3053
BEL,coal,Delayed transition,2028,0.2519
BEL,coal,Delayed transition,2029,0.1984
BEL,coal,Delayed transition,2030,0.145
BEL,coal,Delayed transition,2031,0.1279
BEL,coal,Delayed transition,2032,0.1108
BEL,coal,Delayed transition,2033,0.0936
BEL,coal,Delayed transition,2034,0.0765
BEL,coal,Delayed transition,2035,0.0594
BEL,coal,Delayed transition,2036,0.0491
BEL,coal,Delayed transition,2037,0.0388
BEL,coal,Delayed transition,2038,0.0285
BEL,coal,Delayed transition,2039,0.0182
BEL,coal,Delayed transition,2040,0.0079
BEL,coal,Delayed transition,2041,0.0064
BEL,coal,Delayed transition,2042,0.0048
BEL,coal,Delayed transition,2043,0.0033
BEL,coal,Delayed transition,2044,0.0017
BEL,coal,Delayed transition,2045,0.0001
BEL,coal,Delayed transition,2046,0.0001
BEL,coal,Delayed transition,2047,0.0001
BEL,coal,Delayed transition,2048,0.0001
BEL,coal,Delayed transition,2049,0.0001
BEL,coal,Delayed transition,2050,0.0
BEL,coal,Net Zero 2050,2020,0.85
BEL,coal,Net Zero 2050,2021,0.7452
BEL,coal,Net Zero 2050,2022,0.6404
BEL,coal,Net Zero 2050,2023,0.5356
BEL,coal,Net Zero 2050,2024,0.4308
BEL,coal,Net Zero 2050,2025,0.3261
BEL,coal,Net Zero 2050,2026,0.2741
BEL,coal,Net Zero 2050,2027,0.2222
BEL,coal,Net Zero 2050,2028,0.1702
BEL,coal,Net Zero 2050,2029,0.1183
BEL,coal,Net Zero 2050,2030,0.0663
BEL,coal,Net Zero 2050,2031,0.0531
BEL,coal,Net Zero 2050,2032,0.0399
BEL,coal,Net Zero 2050,2033,0.0266
BEL,coal,Net Zero 2050,2034,0.0134
BEL,coal,Net Zero 2050,2035,0.0002
BEL,coal,Net Zero 2050,2036,0.0002
BEL,coal,Net Zero 2050,2037,0.0002
BEL,coal,Net Zero 2050,2038,0.0001
BEL,coal,Net Zero 2050,2039,0.0001
BEL,coal,Net Zero 2050,2040,0.0001
BEL,coal,Net Zero 2050,2041,0.0001
BEL,coal,Net Zero 2050,2042,0.0001
BEL,coal,Net Zero 2050,2043,0.0001
BEL,coal,Net Zero 2050,2044,0.0001
BEL,coal,Net Zero 2050,2045,0.0001
BEL,coal,Net Zero 2050,2046,0.0001
BEL,coal,Net Zero 2050,2047,0.0
BEL,coal,Net Zero 2050,2048,0.0
BEL,coal,Net Zero 2050,2049,0.0
BEL,coal,Net Zero 2050,2050,0.0
BGR,coal,Current Policies,2020,0.3252
BGR,coal,Current Policies,2021,0.2917
BGR,coal,Current Policies,2022,0.2582
BGR,coal,Current Policies,2023,0.2247
BGR,coal,Current Policies,2024,0.1912
BGR,coal,Current Policies,2025,0.1577
BGR,coal,Current Policies,2026,0.1373
BGR,coal,Current Policies,2027,0.1168
BGR,coal,Current Policies,2028,0.0964
BGR,coal,Current Policies,2029,0.0759
BGR,coal,Current Policies,2030,0.0555
BGR,coal,Current Policies,2031,0.0489
BGR,coal,Current Policies,2032,0.0424
BGR,coal,Current Policies,2033,0.0359
BGR,coal,Current Policies,2034,0.0294
BGR,coal,Current Policies,2035,0.0228
BGR,coal,Current Policies,2036,0.0189
BGR,coal,Current Policies,2037,0.0149
BGR,coal,Current Policies,2038,0.011
BGR,coal,Current Policies,2039,0.0071
BGR,coal,Current Policies,2040,0.0031
BGR,coal,Current Policies,2041,0.0025
BGR,coal,Current Policies,2042,0.0019
BGR,coal,Current Policies,2043,0.0014
BGR,coal,Current Policies,2044,0.0008
BGR,coal,Current Policies,2045,0.0002
BGR,coal,Current Policies,2046,0.0002
BGR,coal,Current Policies,2047,0.0001
BGR,coal,Current Policies,2048,0.0001
BGR,coal,Current Policies,2049,0.0001
BGR,coal,Current Policies,2050,0.0001
BGR,coal,Delayed transition,2020,0.3252
BGR,coal,Delayed transition,2021,0.2917
BGR,coal,Delayed transition,2022,0.2582
BGR,coal,Delayed transition,2023,0.2247
BGR,coal,Delayed transition,2024,0.1912
BGR,coal,Delayed transition,2025,0.1577
BGR,coal,Delayed transition,2026,0.1373
BGR,coal,Delayed transition,2027,0.1168
BGR,coal,Delayed transition,2028,0.0964
BGR,coal,Delayed transition,2029,0.0759
BGR,coal,Delayed transition,2030,0.0555
BGR,coal,Delayed transition,2031,0.0489
BGR,coal,Delayed transition,2032,0.0424
BGR,coal,Delayed transition,2033,0.0358
BGR,coal,Delayed transition,2034,0.0293
BGR,coal,Delayed transition,2035,0.0227
BGR,coal,Delayed transition,2036,0.0188
BGR,coal,Delayed transition,2037,0.0149
BGR,coal,Delayed transition,2038,0.0109
BGR,coal,Delayed transition,2039,0.007
BGR,coal,Delayed transition,2040,0.003
BGR,coal,Delayed transition,2041,0.0024
BGR,coal,Delayed transition,2042,0.0018
BGR,coal,Delayed transition,2043,0.0012
BGR,coal,Delayed transition,2044,0.0006
BGR,coal,Delayed transition,2045,0.0001
BGR,coal,Delayed transition,2046,0.0
BGR,coal,Delayed transition,2047,0.0
BGR,coal,Delayed transition,2048,0.0
BGR,coal,Delayed transition,2049,0.0
BGR,coal,Delayed transition,2050,0.0
BGR,coal,Net Zero 2050,2020,0.3252
BGR,coal,Net Zero 2050,2021,0.2851
BGR,coal,Net Zero 2050,2022,0.245
BGR,coal,Net Zero 2050,2023,0.2049
BGR,coal,Net Zero 2050,2024,0.1648
BGR,coal,Net Zero 2050,2025,0.1247
BGR,coal,Net Zero 2050,2026,0.1049
BGR,coal,Net Zero 2050,2027,0.085
BGR,coal,Net Zero 2050,2028,0.0651
BGR,coal,Net Zero 2050,2029,0.0452
BGR,coal,Net Zero 2050,2030,0.0254
BGR,coal,Net Zero 2050,2031,0.0203
BGR,coal,Net Zero 2050,2032,0.0152
BGR,coal,Net Zero 2050,2033,0.0102
BGR,coal,Net Zero 2050,2034,0.0051
BGR,coal,Net Zero 2050,2035,0.0001
BGR,coal,Net Zero 2050,2036,0.0001
BGR,coal,Net Zero 2050,2037,0.0001
BGR,coal,Net Zero 2050,2038,0.0001
BGR,coal,Net Zero 2050,2039,0.0001
BGR,coal,Net Zero 2050,2040,0.0
BGR,coal,Net Zero 2050,2041,0.0
BGR,coal,Net Zero 2050,2042,0.0
BGR,coal,Net Zero 2050,2043,0.0
BGR,coal,Net Zero 2050,2044,0.0
BGR,coal,Net Zero 2050,2045,0.0
BGR,coal,Net Zero 2050,2046,0.0
BGR,coal,Net Zero 2050,2047,0.0
BGR,coal,Net Zero 2050,2048,0.0
BGR,coal,Net Zero 2050,2049,0.0
BGR,coal,Net Zero 2050,2050,0.0
HRV,coal,Current Policies,2020,0.85
HRV,coal,Current Policies,2021,0.7625
HRV,coal,Current Policies,2022,0.6749
HRV,coal,Current Policies,2023,0.5874
HRV,coal,Current Policies,2024,0.4998
HRV,coal,Current Policies,2025,0.4123
HRV,coal,Current Policies,2026,0.3588
HRV,coal,Current Policies,2027,0.3053
HRV,coal,Current Policies,2028,0.2519
HRV,coal,Current Policies,2029,0.1984
HRV,coal,Current Policies,2030,0.145
HRV,coal,Current Policies,2031,0.1279
HRV,coal,Current Policies,2032,0.1109
HRV,coal,Current Policies,2033,0.0938
HRV,coal,Current Policies,2034,0.0768
HRV,coal,Current Policies,2035,0.0597
HRV,coal,Current Policies,2036,0.0494
HRV,coal,Current Policies,2037,0.0391
HRV,coal,Current Policies,2038,0.0288
HRV,coal,Current Policies,2039,0.0184
HRV,coal,Current Policies,2040,0.0081
HRV,coal,Current Policies,2041,0.0066
HRV,coal,Current Policies,2042,0.0051
HRV,coal,Current Policies,2043,0.0035
HRV,coal,Current Policies,2044,0.002
HRV,coal,Current Policies,2045,0.0005
HRV,coal,Current Policies,2046,0.0004
HRV,coal,Current Policies,2047,0.0003
HRV,coal,Current Policies,2048,0.0003
HRV,coal,Current Policies,2049,0.0002
HRV,coal,Current Policies,2050,0.0001
HRV,coal,Delayed transition,2020,0.85
HRV,coal,Delayed transition,2021,0.7625
HRV,coal,Delayed transition,2022,0.6749
HRV,coal,Delayed transition,2023,0.5874
HRV,coal,Delayed transition,2024,0.4998
HRV,coal,Delayed transition,2025,0.4123
HRV,coal,Delayed transition,2026,0.3588
HRV,coal,Delayed transition,2027,0.3053
HRV,coal,Delayed transition,2028,0.2519
HRV,coal,Delayed transition,2029,0.1984
HRV,coal,Delayed transition,2030,0.145
HRV,coal,Delayed transition,2031,0.1279
HRV,coal,Delayed transition,2032,0.1108
HRV,coal,Delayed transition,2033,0.0936
HRV,coal,Delayed transition,2034,0.0765
HRV,coal,Delayed transition,2035,0.0594
HRV,coal,Delayed transition,2036,0.0491
HRV,coal,Delayed transition,2037,0.0388
HRV,coal,Delayed transition,2038,0.0285
HRV,coal,Delayed transition,2039,0.0182
HRV,coal,Delayed transition,2040,0.0079
HRV,coal,Delayed transition,2041,0.0064
HRV,coal,Delayed transition,2042,0.0048
HRV,coal,Delayed transition,2043,0.0033
HRV,coal,Delayed transition,2044,0.0017
HRV,coal,Delayed transition,2045,0.0001
HRV,coal,Delayed transition,2046,0.0001
HRV,coal,Delayed transition,2047,0.0001
HRV,coal,Delayed transition,2048,0.0001
HRV,coal,Delayed transition,2049,0.0001
HRV,coal,Delayed transition,2050,0.0
HRV,coal,Net Zero 2050,2020,0.85
HRV,coal,Net Zero 2050,2021,0.7452
HRV,coal,Net Zero 2050,2022,0.6404
HRV,coal,Net Zero 2050,2023,0.5356
HRV,coal,Net Zero 2050,2024,0.4308
HRV,coal,Net Zero 2050,2025,0.3261
HRV,coal,Net Zero 2050,2026,0.2741
HRV,coal,Net Zero 2050,2027,0.2222
HRV,coal,Net Zero 2050,2028,0.1702
HRV,coal,Net Zero 2050,2029,0.1183
HRV,coal,Net Zero 2050,2030,0.0663
HRV,coal,Net Zero 2050,2031,0.0531
HRV,coal,Net Zero 2050,2032,0.0399
HRV,coal,Net Zero 2050,2033,0.0266
HRV,coal,Net Zero 2050,2034,0.0134
HRV,coal,Net Zero 2050,2035,0.0002
HRV,coal,Net Zero 2050,2036,0.0002
HRV,coal,Net Zero 2050,2037,0.0002
HRV,coal,Net Zero 2050,2038,0.0001
HRV,coal,Net Zero 2050,2039,0.0001
HRV,coal,Net Zero 2050,2040,0.0001
HRV,coal,Net Zero 2050,2041,0.0001
HRV,coal,Net Zero 2050,2042,0.0001
HRV,coal,Net Zero 2050,2043,0.0001
HRV,coal,Net Zero 2050,2044,0.0001
HRV,coal,Net Zero 2050,2045,0.0001
HRV,coal,Net Zero 2050,2046,0.0001
HRV,coal,Net Zero 2050,2047,0.0
HRV,coal,Net Zero 2050,2048,0.0
HRV,coal,Net Zero 2050,2049,0.0
HRV,coal,Net Zero 2050,2050,0.0
CZE,coal,Current Policies,2020,0.4972
CZE,coal,Current Policies,2021,0.446
CZE,coal,Current Policies,2022,0.3948
CZE,coal,Current Policies,2023,0.3436
CZE,coal,Current Policies,2024,0.2924
CZE,coal,Current Policies,2025,0.2411
CZE,coal,Current Policies,2026,0.2099
CZE,coal,Current Policies,2027,0.1786
CZE,coal,Current Policies,2028,0.1473
CZE,coal,Current Policies,2029,0.1161
CZE,coal,Current Policies,2030,0.0848
CZE,coal,Current Policies,2031,0.0748
CZE,coal,Current Policies,2032,0.0648
CZE,coal,Current Policies,2033,0.0549
CZE,coal,Current Policies,2034,0.0449
CZE,coal,Current Policies,2035,0.0349
CZE,coal,Current Policies,2036,0.0289
CZE,coal,Current Policies,2037,0.0229
CZE,coal,Current Policies,2038,0.0168
CZE,coal,Current Policies,2039,0.0108
CZE,coal,Current Policies,2040,0.0047
CZE,coal,Current Policies,2041,0.0039
CZE,coal,Current Policies,2042,0.003
CZE,coal,Current Policies,2043,0.0021
CZE,coal,Current Policies,2044,0.0012
CZE,coal,Current Policies,2045,0.0003
CZE,coal,Current Policies,2046,0.0002
CZE,coal,Current Policies,2047,0.0002
CZE,coal,Current Policies,2048,0.0002
CZE,coal,Current Policies,2049,0.0001
CZE,coal,Current Policies,2050,0.0001
CZE,coal,Delayed transition,2020,0.4972
CZE,coal,Delayed transition,2021,0.446
CZE,coal,Delayed transition,2022,0.3948
CZE,coal,Delayed transition,2023,0.3436
CZE,coal,Delayed transition,2024,0.2924
CZE,coal,Delayed transition,2025,0.2411
CZE,coal,Delayed transition,2026,0.2099
CZE,coal,Delayed transition,2027,0.1786
CZE,coal,Delayed transition,2028,0.1473
CZE,coal,Delayed transition,2029,0.1161
CZE,coal,Delayed transition,2030,0.0848
CZE,coal,Delayed transition,2031,0.0748
CZE,coal,Delayed transition,2032,0.0648
CZE,coal,Delayed transition,2033,0.0548
CZE,coal,Delayed transition,2034,0.0448
CZE,coal,Delayed transition,2035,0.0348
CZE,coal,Delayed transition,2036,0.0287
CZE,coal,Delayed transition,2037,0.0227
CZE,coal,Delayed transition,2038,0.0167
CZE,coal,Delayed transition,2039,0.0107
CZE,coal,Delayed transition,2040,0.0046
CZE,coal,Delayed transition,2041,0.0037
CZE,coal,Delayed transition,2042,0.0028
CZE,coal,Delayed transition,2043,0.0019
CZE,coal,Delayed transition,2044,0.001
CZE,coal,Delayed transition,2045,0.0001
CZE,coal,Delayed transition,2046,0.0001
CZE,coal,Delayed transition,2047,0.0001
CZE,coal,Delayed transition,2048,0.0
CZE,coal,Delayed transition,2049,0.0
CZE,coal,Delayed transition,2050,0.0
CZE,coal,Net Zero 2050,2020,0.4972
CZE,coal,Net Zero 2050,2021,0.4359
CZE,coal,Net Zero 2050,2022,0.3746
CZE,coal,Net Zero 2050,2023,0.3133
CZE,coal,Net Zero 2050,2024,0.252
CZE,coal,Net Zero 2050,2025,0.1907
CZE,coal,Net Zero 2050,2026,0.1603
CZE,coal,Net Zero 2050,2027,0.13
CZE,coal,Net Zero 2050,2028,0.0996
CZE,coal,Net Zero 2050,2029,0.0692
CZE,coal,Net Zero 2050,2030,0.0388
CZE,coal,Net Zero 2050,2031,0.031
CZE,coal,Net Zero 2050,2032,0.0233
CZE,coal,Net Zero 2050,2033,0.0156
CZE,coal,Net Zero 2050,2034,0.0078
CZE,coal,Net Zero 2050,2035,0.0001
CZE,coal,Net Zero 2050,2036,0.0001
CZE,coal,Net Zero 2050,2037,0.0001
CZE,coal,Net Zero 2050,2038,0.0001
CZE,coal,Net Zero 2050,2039,0.0001
CZE,coal,Net Zero 2050,2040,0.0001
CZE,coal,Net Zero 2050,2041,0.0001
CZE,coal,Net Zero 2050,2042,0.0001
CZE,coal,Net Zero 2050,2043,0.0001
CZE,coal,Net Zero 2050,2044,0.0
CZE,coal,Net Zero 2050,2045,0.0
CZE,coal,Net Zero 2050,2046,0.0
CZE,coal,Net Zero 2050,2047,0.0
CZE,coal,Net Zero 2050,2048,0.0
CZE,coal,Net Zero 2050,2049,0.0
CZE,coal,Net Zero 2050,2050,0.0
DNK,coal,Current Policies,2020,0.1146
DNK,coal,Current Policies,2021,0.1028
DNK,coal,Current Policies,2022,0.091
DNK,coal,Current Policies,2023,0.0792
DNK,coal,Current Policies,2024,0.0674
DNK,coal,Current Policies,2025,0.0556
DNK,coal,Current Policies,2026,0.0484
DNK,coal,Current Policies,2027,0.0412
DNK,coal,Current Policies,2028,0.0339
DNK,coal,Current Policies,2029,0.0267
DNK,coal,Current Policies,2030,0.0195
DNK,coal,Current Policies,2031,0.0172
DNK,coal,Current Policies,2032,0.0149
DNK,coal,Current Policies,2033,0.0126
DNK,coal,Current Policies,2034,0.0103
DNK,coal,Current Policies,2035,0.008
DNK,coal,Current Policies,2036,0.0067
DNK,coal,Current Policies,2037,0.0053
DNK,coal,Current Policies,2038,0.0039
DNK,coal,Current Policies,2039,0.0025
DNK,coal,Current Policies,2040,0.0011
DNK,coal,Current Policies,2041,0.0009
DNK,coal,Current Policies,2042,0.0007
DNK,coal,Current Policies,2043,0.0005
DNK,coal,Current Policies,2044,0.0003
DNK,coal,Current Policies,2045,0.0001
DNK,coal,Current Policies,2046,0.0001
DNK,coal,Current Policies,2047,0.0
DNK,coal,Current Policies,2048,0.0
DNK,coal,Current Policies,2049,0.0
DNK,coal,Current Policies,2050,0.0
DNK,coal,Delayed transition,2020,0.1146
DNK,coal,Delayed transition,2021,0.1028
DNK,coal,Delayed transition,2022,0.091
DNK,coal,Delayed transition,2023,0.0792
DNK,coal,Delayed transition,2024,0.0674
DNK,coal,Delayed transition,2025,0.0556
DNK,coal,Delayed transition,2026,0.0484
DNK,coal,Delayed transition,2027,0.0412
DNK,coal,Delayed transition,2028,0.0339
DNK,coal,Delayed transition,2029,0.0267
DNK,coal,Delayed transition,2030,0.0195
DNK,coal,Delayed transition,2031,0.0172
DNK,coal,Delayed transition,2032,0.0149
DNK,coal,Delayed transition,2033,0.0126
DNK,coal,Delayed transition,2034,0.0103
DNK,coal,Delayed transition,2035,0.008
DNK,coal,Delayed transition,2036,0.0066
DNK,coal,Delayed transition,2037,0.0052
DNK,coal,Delayed transition,2038,0.0038
DNK,coal,Delayed transition,2039,0.0025
DNK,coal,Delayed transition,2040,0.0011
DNK,coal,Delayed transition,2041,0.0009
DNK,coal,Delayed transition,2042,0.0006
DNK,coal,Delayed transition,2043,0.0004
DNK,coal,Delayed transition,2044,0.0002
DNK,coal,Delayed transition,2045,0.0
DNK,coal,Delayed transition,2046,0.0
DNK,coal,Delayed transition,2047,0.0
DNK,coal,Delayed transition,2048,0.0
DNK,coal,Delayed transition,2049,0.0
DNK,coal,Delayed transition,2050,0.0
DNK,coal,Net Zero 2050,2020,0.1146
DNK,coal,Net Zero 2050,2021,0.1004
DNK,coal,Net Zero 2050,2022,0.0863
DNK,coal,Net Zero 2050,2023,0.0722
DNK,coal,Net Zero 2050,2024,0.0581
DNK,coal,Net Zero 2050,2025,0.0439
DNK,coal,Net Zero 2050,2026,0.0369
DNK,coal,Net Zero 2050,2027,0.0299
DNK,coal,Net Zero 2050,2028,0.0229
DNK,coal,Net Zero 2050,2029,0.0159
DNK,coal,Net Zero 2050,2030,0.0089
DNK,coal,Net Zero 2050,2031,0.0072
DNK,coal,Net Zero 2050,2032,0.0054
DNK,coal,Net Zero 2050,2033,0.0036
DNK,coal,Net Zero 2050,2034,0.0018
DNK,coal,Net Zero 2050,2035,0.0
DNK,coal,Net Zero 2050,2036,0.0
DNK,coal,Net Zero 2050,2037,0.0
DNK,coal,Net Zero 2050,2038,0.0
DNK,coal,Net Zero 2050,2039,0.0
DNK,coal,Net Zero 2050,2040,0.0
DNK,coal,Net Zero 2050,2041,0.0
DNK,coal,Net Zero 2050,2042,0.0
DNK,coal,Net Zero 2050,2043,0.0
DNK,coal,Net Zero 2050,2044,0.0
DNK,coal,Net Zero 2050,2045,0.0
DNK,coal,Net Zero 2050,2046,0.0
DNK,coal,Net Zero 2050,2047,0.0
DNK,coal,Net Zero 2050,2048,0.0
DNK,coal,Net Zero 2050,2049,0.0
DNK,coal,Net Zero 2050,2050,0.0
FIN,coal,Current Policies,2020,0.798
FIN,coal,Current Policies,2021,0.7158
FIN,coal,Current Policies,2022,0.6336
FIN,coal,Current Policies,2023,0.5514
FIN,coal,Current Policies,2024,0.4692
FIN,coal,Current Policies,2025,0.387
FIN,coal,Current Policies,2026,0.3368
FIN,coal,Current Policies,2027,0.2867
FIN,coal,Current Policies,2028,0.2365
FIN,coal,Current Policies,2029,0.1863
FIN,coal,Current Policies,2030,0.1361
FIN,coal,Current Policies,2031,0.1201
FIN,coal,Current Policies,2032,0.1041
FIN,coal,Current Policies,2033,0.0881
FIN,coal,Current Policies,2034,0.0721
FIN,coal,Current Policies,2035,0.0561
FIN,coal,Current Policies,2036,0.0464
FIN,coal,Current Policies,2037,0.0367
FIN,coal,Current Policies,2038,0.027
FIN,coal,Current Policies,2039,0.0173
FIN,coal,Current Policies,2040,0.0076
FIN,coal,Current Policies,2041,0.0062
FIN,coal,Current Policies,2042,0.0047
FIN,coal,Current Policies,2043,0.0033
FIN,coal,Current Policies,2044,0.0019
FIN,coal,Current Policies,2045,0.0004
FIN,coal,Current Policies,2046,0.0004
FIN,coal,Current Policies,2047,0.0003
FIN,coal,Current Policies,2048,0.0003
FIN,coal,Current Policies,2049,0.0002
FIN,coal,Current Policies,2050,0.0001
FIN,coal,Delayed transition,2020,0.798
FIN,coal,Delayed transition,2021,0.7158
FIN,coal,Delayed transition,2022,0.6336
FIN,coal,Delayed transition,2023,0.5514
FIN,coal,Delayed transition,2024,0.4692
FIN,coal,Delayed transition,2025,0.387
FIN,coal,Delayed transition,2026,0.3368
FIN,coal,Delayed transition,2027,0.2867
FIN,coal,Delayed transition,2028,0.2365
FIN,coal,Delayed transition,2029,0.1863
FIN,coal,Delayed transition,2030,0.1361
FIN,coal,Delayed transition,2031,0.12
FIN,coal,Delayed transition,2032,0.104
FIN,coal,Delayed transition,2033,0.0879
FIN,coal,Delayed transition,2034,0.0719
FIN,coal,Delayed transition,2035,0.0558
FIN,coal,Delayed transition,2036,0.0461
FIN,coal,Delayed transition,2037,0.0365
FIN,coal,Delayed transition,2038,0.0268
FIN,coal,Delayed transition,2039,0.0171
FIN,coal,Delayed transition,2040,0.0074
FIN,coal,Delayed transition,2041,0.006
FIN,coal,Delayed transition,2042,0.0045
FIN,coal,Delayed transition,2043,0.0031
FIN,coal,Delayed transition,2044,0.0016
FIN,coal,Delayed transition,2045,0.0001
FIN,coal,Delayed transition,2046,0.0001
FIN,coal,Delayed transition,2047,0.0001
FIN,coal,Delayed transition,2048,0.0001
FIN,coal,Delayed transition,2049,0.0001
FIN,coal,Delayed transition,2050,0.0
FIN,coal,Net Zero 2050,2020,0.798
FIN,coal,Net Zero 2050,2021,0.6996
FIN,coal,Net Zero 2050,2022,0.6012
FIN,coal,Net Zero 2050,2023,0.5029
FIN,coal,Net Zero 2050,2024,0.4045
FIN,coal,Net Zero 2050,2025,0.3061
FIN,coal,Net Zero 2050,2026,0.2573
FIN,coal,Net Zero 2050,2027,0.2086
FIN,coal,Net Zero 2050,2028,0.1598
FIN,coal,Net Zero 2050,2029,0.111
FIN,coal,Net Zero 2050,2030,0.0622
FIN,coal,Net Zero 2050,2031,0.0498
FIN,coal,Net Zero 2050,2032,0.0374
