scenario,variable,unit,year,value
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2020,762687906.0999999
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2021,711875021.9599999
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2022,661062137.8199999
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2023,610249253.6800001
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2024,559436369.54
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2025,508623485.4
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2026,455701692.88
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2027,402779900.36
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2028,349858107.84
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2029,296936315.32
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2030,244014522.8
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2031,213620615.12000003
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2032,183226707.44000003
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2033,152832799.76000002
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2034,122438892.08000004
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2035,92044984.40000002
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2036,78362255.64000002
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2037,64679526.88000001
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2038,50996798.120000005
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2039,37314069.36000001
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2040,23631340.6
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2041,23134436.0
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2042,22637531.4
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2043,22140626.8
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2044,21643722.2
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2045,21146817.6
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2046,21122532.72
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2047,21098247.84
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2048,21073962.96
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2049,21049678.08
Current Policies,Emissions|CO2|Energy|Supply|Electricity,tCO2/yr,2050,21025393.2
Current Policies,Price|Carbon,EUR2024/tCO2,2020,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2021,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2022,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2023,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2024,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2025,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2026,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2027,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2028,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2029,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2030,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2031,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2032,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2033,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2034,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2035,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2036,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2037,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2038,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2039,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2040,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2041,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2042,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2043,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2044,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2045,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2046,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2047,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2048,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2049,37.24003381392
Current Policies,Price|Carbon,EUR2024/tCO2,2050,37.24003381392
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2020,29.472950064259457
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2021,29.662342349526487
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2022,29.851734634793516
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2023,30.041126920060538
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2024,30.230519205327575
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2025,30.419911490594593
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2026,30.40245041549838
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2027,30.384989340402164
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2028,30.367528265305936
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2029,30.35006719020972
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2030,30.3326061151135
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2031,30.441100559429177
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2032,30.549595003744855
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2033,30.658089448060533
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2034,30.766583892376214
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2035,30.875078336691892
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2036,31.188237637154597
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2037,31.5013969376173
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2038,31.814556238080012
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2039,32.12771553854272
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2040,32.44087483900543
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2041,32.764751433029204
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2042,33.088628027052984
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2043,33.41250462107676
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2044,33.73638121510054
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2045,34.060257809124316
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2046,34.641617286745934
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2047,35.222976764367566
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2048,35.80433624198919
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2049,36.385695719610816
Current Policies,Price|Primary Energy|Coal,EUR2024/MWh_elec,2050,36.96705519723244
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2020,43.062449689728005
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2021,44.00104891392001
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2022,44.939648138112005
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2023,45.87824736230401
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2024,46.81684658649602
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2025,47.755445810688016
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2026,47.87867357844482
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2027,48.001901346201606
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2028,48.12512911395841
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2029,48.2483568817152
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2030,48.371584649472
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2031,49.6313117701632
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2032,50.8910388908544
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2033,52.150766011545606
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2034,53.41049313223681
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2035,54.67022025292802
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2036,55.45907856921602
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2037,56.24793688550401
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2038,57.03679520179201
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2039,57.82565351808001
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2040,58.61451183436802
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2041,59.5133352350208
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2042,60.412158635673606
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2043,61.31098203632641
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2044,62.2098054369792
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2045,63.108628837632
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2046,63.94291661721601
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2047,64.7772043968
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2048,65.61149217638402
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2049,66.44577995596802
Current Policies,Price|Primary Energy|Gas,EUR2024/MWh_elec,2050,67.28006773555202
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2020,160.97266418688002
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2021,165.80665809792004
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2022,170.64065200896005
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2023,175.47464592
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2024,180.30863983104004
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2025,185.14263374208002
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2026,188.11603383552
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2027,191.08943392896003
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2028,194.06283402240004
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2029,197.03623411584002
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2030,200.00963420928002
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2031,200.53727426073604
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2032,201.064914312192
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2033,201.59255436364802
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2034,202.120194415104
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2035,202.64783446656003
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2036,207.33728195174402
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2037,212.02672943692804
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2038,216.71617692211203
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2039,221.40562440729605
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2040,226.0950718924801
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2041,230.66473204454405
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2042,235.23439219660804
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2043,239.804052348672
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2044,244.37371250073605
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2045,248.94337265280006
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2046,253.41763776537604
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2047,257.891902877952
Current Policies,Price|Primary Energy|Oil,EUR2024/MWh_elec,2048,262.36616799052814
