Parameter,Variant,Max |Δ| (pp),Rank changes (top N),Ranking,Share 2030 (%),Δ 2030 (pp),Share 2040 (%),Δ 2040 (pp),Share 2050 (%),Δ 2050 (pp)
Carbon price,Carbon ×0.8,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Carbon price,Baseline,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Carbon price,Carbon ×1.2,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Electricity price,Elec ×0.8,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Electricity price,Baseline,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Electricity price,Elec ×1.2,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Technical lifetime,Lifetime -5yr,46.7,10,"['DNK', 'SWE', 'POL', 'BGR', 'SVN']",55.9,46.7,87.3,-12.7,97.7,-2.3
Technical lifetime,Baseline,37.7,10,"['SWE', 'DNK', 'POL', 'BGR', 'SVN']",46.9,37.7,75.8,-24.2,95.7,-4.3
Technical lifetime,Lifetime +5yr,44.1,10,"['BGR', 'POL', 'SVN', 'CZE', 'SVK']",34.1,24.8,55.9,-44.1,87.3,-12.7
Threshold K,K=1,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Threshold K,K=3 (baseline),0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Threshold K,K=5,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Stranding definition,Economic K=3,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
Stranding definition,Rule-based,87.0,9,"['NLD', 'BEL', 'FRA', 'HRV', 'PRT']",10.3,1.1,13.0,-87.0,22.6,-77.4
Stranding definition,Utilisation CF<10%,21.3,10,"['BGR', 'EST', 'ITA', 'LTU', 'LUX']",30.5,21.3,100.0,0.0,100.0,0.0
η model,Uniform η,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
η model,Vintage η_p,0.0,0,"['EST', 'HRV', 'CYP', 'SWE', 'FRA']",9.2,0.0,100.0,0.0,100.0,0.0
