country,country_long,plants,capacity_mw,capacity_gw,capacity_share_pct
DEU,Germany,300,75054.35,75.05435,23.875535031102007
ITA,Italy,77,56411.35,56.41135,17.945011356127342
ESP,Spain,99,39609.125,39.609125,12.600056512231445
POL,Poland,87,33418.0,33.418,10.630598088843175
NLD,Netherlands,17,14327.0,14.327,4.5575611592212635
FRA,France,19,12970.0,12.97,4.1258859660152005
GRC,Greece,21,10701.0,10.701,3.4040945044200974
CZE,Czech Republic,25,9683.0,9.683,3.0802585820296984
ROU,Romania,18,9159.0,9.159,2.9135689716833637
DNK,Denmark,14,6324.0,6.324,2.0117272821187457
PRT,Portugal,6,5807.0,5.807,1.8472644413762738
IRL,Ireland,17,5753.1,5.753100000000001,1.8301183154265268
BGR,Bulgaria,11,4859.0,4.859,1.5456962150245075
BEL,Belgium,30,4507.8,4.5078000000000005,1.4339760028992539
HUN,Hungary,12,4319.3,4.3193,1.3740122785666504
FIN,Finland,33,4122.9,4.1229,1.3115354856811157
LTU,Lithuania,4,2490.0,2.49,0.7920937590885004
EST,Estonia,4,2264.0,2.264,0.7202009118780582
SWE,Sweden,5,2260.0,2.26,0.718928472104422
SVK,Slovakia,5,2126.0,2.126,0.6763017396876112
AUT,Austria,3,2067.0,2.067,0.657533253026478
HRV,Croatia,7,1651.8,1.6518,0.5254540045230461
SVN,Slovenia,4,1618.0,1.618,0.5147018884358208
CYP,Cyprus,3,1468.0,1.468,0.4669853969244653
LVA,Latvia,2,1001.0,1.001,0.31842805335244534
LUX,Luxembourg,1,385.0,0.385,0.12247232821247898
