scenario,year,fuel,avg_margin_eur_per_MWh,median_margin_eur_per_MWh,share_negative_margin_pct,share_stranded_pct,plants
Current Policies,2030,coal,26.041947805898133,26.041947805898133,0.0,0.0,279
Current Policies,2030,gas,28.237909720633496,28.237909720633496,0.0,0.0,439
Current Policies,2030,oil,-139.74143515305965,-139.74143515305965,100.0,100.0,106
Current Policies,2040,coal,3.4599328364381563,3.4599328364381563,0.0,0.0,279
Current Policies,2040,gas,-2.4787637098305737,-2.4787637098305737,100.0,0.0,439
Current Policies,2040,oil,-186.30061908182776,-186.3006190818278,100.0,100.0,106
Current Policies,2050,coal,-9.797302803324854,-9.797302803324854,100.0,100.0,279
Current Policies,2050,gas,-19.87537489255058,-19.87537489255058,100.0,100.0,439
Current Policies,2050,oil,-240.25130068656378,-240.2513006865638,100.0,100.0,106
Delayed transition,2030,coal,26.041947805898133,26.041947805898133,0.0,0.0,279
Delayed transition,2030,gas,28.237909720633496,28.237909720633496,0.0,0.0,439
Delayed transition,2030,oil,-139.74143515305965,-139.74143515305965,100.0,100.0,106
Delayed transition,2040,coal,-409.33539370900303,-409.33539370900303,100.0,100.0,279
Delayed transition,2040,gas,-170.2824528342764,-170.2824528342764,100.0,100.0,439
Delayed transition,2040,oil,-506.9213483474049,-506.9213483474049,100.0,100.0,106
Delayed transition,2050,coal,-843.1050091072805,-843.1050091072805,100.0,100.0,279
Delayed transition,2050,gas,-383.4727631195896,-383.4727631195896,100.0,100.0,439
Delayed transition,2050,oil,-907.4613059265969,-907.4613059265969,100.0,100.0,106
Net Zero 2050,2030,coal,-250.2657739210643,-250.2657739210643,100.0,100.0,279
Net Zero 2050,2030,gas,-80.73739634125495,-80.73739634125495,100.0,100.0,439
Net Zero 2050,2030,oil,-346.05471042403894,-346.05471042403894,100.0,100.0,106
Net Zero 2050,2040,coal,-814.5005070080963,-814.5005070080963,100.0,100.0,279
Net Zero 2050,2040,gas,-370.24560370386126,-370.2456037038612,100.0,100.0,439
Net Zero 2050,2040,oil,-834.925899143142,-834.925899143142,100.0,100.0,106
Net Zero 2050,2050,coal,-1246.419302814707,-1246.419302814707,100.0,100.0,279
Net Zero 2050,2050,gas,-556.4297297463186,-556.4297297463186,100.0,100.0,439
Net Zero 2050,2050,oil,-1217.6447189783835,-1217.6447189783835,100.0,100.0,106
