scenario,year,fuel,avg_margin_eur_per_MWh,median_margin_eur_per_MWh,share_negative_margin_pct,share_stranded_pct,plants
Current Policies,2020,coal,49.60181583729613,49.60181583729613,0.0,0.0,279
Current Policies,2020,gas,56.24725666092142,56.24725666092142,0.0,0.0,439
Current Policies,2020,oil,-78.00425315011574,-78.00425315011574,100.0,0.0,106
Current Policies,2021,coal,47.326609507510696,47.326609507510696,0.0,0.0,279
Current Policies,2021,gas,53.22284339221103,53.22284339221103,0.0,0.0,439
Current Policies,2021,oil,-84.92406110567416,-84.92406110567416,100.0,0.0,106
Current Policies,2022,coal,45.05140317772526,45.05140317772526,0.0,0.0,279
Current Policies,2022,gas,50.19843012350063,50.19843012350063,0.0,0.0,439
Current Policies,2022,oil,-91.84386906123257,-91.84386906123257,100.0,100.0,106
Current Policies,2023,coal,42.77619684793984,42.77619684793984,0.0,0.0,279
Current Policies,2023,gas,47.174016854790224,47.174016854790224,0.0,0.0,439
Current Policies,2023,oil,-98.76367701679092,-98.76367701679092,100.0,100.0,106
Current Policies,2024,coal,40.50099051815441,40.50099051815441,0.0,0.0,279
Current Policies,2024,gas,44.14960358607981,44.14960358607981,0.0,0.0,439
Current Policies,2024,oil,-105.68348497234936,-105.68348497234936,100.0,100.0,106
Current Policies,2025,coal,38.225784188368976,38.225784188368976,0.0,0.0,279
Current Policies,2025,gas,41.125190317369416,41.125190317369416,0.0,0.0,439
Current Policies,2025,oil,-112.60329292790772,-112.60329292790772,100.0,100.0,106
Current Policies,2026,coal,35.789016911874825,35.789016911874825,0.0,0.0,279
Current Policies,2026,gas,38.54773419802224,38.54773419802224,0.0,0.0,439
Current Policies,2026,oil,-118.03092137293808,-118.03092137293808,100.0,100.0,106
Current Policies,2027,coal,33.352249635380645,33.352249635380645,0.0,0.0,279
Current Policies,2027,gas,35.970278078675065,35.970278078675065,0.0,0.0,439
Current Policies,2027,oil,-123.4585498179685,-123.4585498179685,100.0,100.0,106
Current Policies,2028,coal,30.91548235888648,30.91548235888648,0.0,0.0,279
Current Policies,2028,gas,33.39282195932786,33.39282195932786,0.0,0.0,439
Current Policies,2028,oil,-128.88617826299892,-128.88617826299892,100.0,100.0,106
Current Policies,2029,coal,28.478715082392284,28.478715082392284,0.0,0.0,279
Current Policies,2029,gas,30.815365839980664,30.815365839980664,0.0,0.0,439
Current Policies,2029,oil,-134.31380670802926,-134.31380670802926,100.0,100.0,106
Current Policies,2030,coal,26.041947805898133,26.041947805898133,0.0,0.0,279
Current Policies,2030,gas,28.237909720633496,28.237909720633496,0.0,0.0,439
Current Policies,2030,oil,-139.74143515305965,-139.74143515305965,100.0,100.0,106
Current Policies,2031,coal,23.840127443016087,23.840127443016087,0.0,0.0,279
Current Policies,2031,gas,24.884856681375915,24.884856681375915,0.0,0.0,439
Current Policies,2031,oil,-142.36240112308207,-142.36240112308207,100.0,100.0,106
Current Policies,2032,coal,21.63830708013397,21.63830708013397,0.0,0.0,279
Current Policies,2032,gas,21.531803642118284,21.531803642118284,0.0,0.0,439
Current Policies,2032,oil,-144.98336709310448,-144.98336709310448,100.0,100.0,106
Current Policies,2033,coal,19.43648671725188,19.43648671725188,0.0,0.0,279
Current Policies,2033,gas,18.178750602860667,18.178750602860667,0.0,0.0,439
Current Policies,2033,oil,-147.60433306312686,-147.60433306312686,100.0,100.0,106
Current Policies,2034,coal,17.234666354369786,17.234666354369786,0.0,0.0,279
Current Policies,2034,gas,14.825697563603043,14.825697563603043,0.0,0.0,439
Current Policies,2034,oil,-150.2252990331493,-150.2252990331493,100.0,100.0,106
Current Policies,2035,coal,15.032845991487717,15.032845991487719,0.0,0.0,279
